Date,Description,Amount,Balance
2/26/2023,AD - NY Pizza01,-42.15,563.84
2/26/2023,AD-LibraryCafeWS01,-30.00,605.99
2/25/2023,AD - Day Mart01,-53.96,635.99
2/24/2023,AD-CampusEastWS02,-6.50,689.95
2/22/2023,AD-CampusWestWS04,-4.25,696.45
2/22/2023,AD-CampusEastWS04,-8.75,700.70
2/20/2023,AD - Day Mart02,-6.75,709.45
2/20/2023,AD - NY Pizza01,-10.00,716.20
2/20/2023,AD - NY Pizza01,-42.15,726.20
2/20/2023,Deposit,346.00,768.35
2/18/2023,AD - Day Mart02,-46.95,422.35
2/18/2023,AD - NY Pizza01,-42.15,469.30
2/16/2023,AD - Day Mart02,-114.93,511.45
2/13/2023,AD-LibraryCafeWS01,-44.00,626.38
2/12/2023,AD-CampusEastWS04,-28.00,670.38
2/12/2023,AD - Day Mart02,-24.00,698.38
2/11/2023,AD - Day Mart01,-3.50,722.38
2/10/2023,AD-LibraryCafeWS01,-22.00,725.88
2/9/2023,AD - Day Mart02,-47.48,747.88
2/7/2023,AD-CampusEastWS02,-36.50,795.36
2/7/2023,AD-LibraryCafeWS01,-22.00,831.86
2/6/2023,AD - NY Pizza01,-42.15,853.86
2/6/2023,Deposit,346.00,896.01
2/2/2023,AD-CampusEastWS04,-2.00,550.01
